layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
16,517,3,cond,0.120944,3.975042,0.401524,0.910000,0.134483,0.454235,0.158658,0.308350,0.954102,0.160506,1.806573,0.000000
16,518,3,unassigned,0.112863,4.393403,0.311017,0.842500,0.126810,0.049731,0.061959,0.587891,0.970215,0.160301,1.694805,0.000000
16,519,1,unassigned,0.052514,4.371034,0.054313,0.042500,0.060172,0.126798,0.022355,0.683105,0.986328,0.137988,2.179605,0.000000
16,520,1,unassigned,0.075699,4.233875,0.048234,0.010000,0.086595,0.048947,0.011238,0.704590,0.968750,0.152326,1.935611,0.000000
16,521,1,unassigned,0.086981,4.566933,0.151859,0.340000,0.098922,0.198267,0.312166,0.569336,0.970703,0.199809,1.478571,0.000000
16,522,0,unassigned,0.109258,3.966184,0.245791,0.302500,0.122241,0.099774,0.009266,0.867676,0.979004,0.143391,2.594227,0.000000
16,523,0,sink,0.060792,3.302575,0.026633,0.010000,0.069267,0.066496,0.005446,0.918945,0.988281,0.151199,2.545205,0.000000
16,524,0,unassigned,0.032862,3.202249,0.017415,0.010000,0.038319,0.034005,0.005962,0.861328,0.974609,0.166777,3.194324,0.000000
16,525,3,cond,0.121917,4.231360,0.254397,0.575000,0.135603,0.307108,0.106005,0.557617,0.968750,0.208106,1.758817,0.000000
16,526,1,unassigned,0.059136,4.683918,0.035196,0.015000,0.067974,0.069209,0.045435,0.683594,0.985840,0.228666,2.125256,0.000000
16,527,1,unassigned,0.072244,4.276050,0.073378,0.022500,0.082328,0.105045,0.014405,0.541504,0.973633,0.153967,1.406662,0.000000
16,528,1,sink,0.073570,4.601460,0.071078,0.052500,0.084526,0.129136,0.027029,0.927246,0.986816,0.140050,2.607892,0.000000
16,529,2,cond,0.141006,3.232221,0.548047,0.937500,0.154353,0.551911,1.146099,0.043365,0.909668,0.180678,1.778513,0.000000
16,530,1,unassigned,0.113253,4.363988,0.093731,0.032500,0.125991,0.187180,0.044318,0.851074,0.979492,0.153434,1.626758,0.000000
16,531,3,cond,0.138802,1.600142,0.648529,0.825000,0.152112,0.411124,0.057959,0.959473,0.975586,0.177872,1.486121,0.000000
16,532,1,unassigned,0.101813,4.223535,0.140869,0.102500,0.114784,0.142737,0.186883,0.480225,0.968750,0.130238,1.563995,0.000000
16,533,0,unassigned,0.118023,4.281972,0.068410,0.017500,0.131595,0.042938,0.075309,0.714844,0.974609,0.181678,2.360410,0.000000
16,534,1,unassigned,0.042080,5.018086,0.030103,0.020000,0.048750,0.063794,0.031044,0.679199,0.979980,0.253380,1.765455,0.000000
16,535,1,unassigned,0.044318,3.836243,0.024117,0.010000,0.052457,0.049559,0.018422,0.836426,0.985840,0.181955,2.618459,0.000000
16,536,3,grounding,0.122716,2.549197,0.570709,0.882500,0.135948,0.204677,0.026225,0.810059,0.977051,0.123033,1.479298,0.000000
16,537,0,reroute,0.090848,4.182549,0.247720,0.652500,0.103534,0.088495,0.022687,0.906250,0.982422,0.320226,2.595864,0.000000
16,538,0,unassigned,0.100719,4.458053,0.127878,0.100000,0.114052,0.032753,0.038199,0.764648,0.981445,0.203273,2.303345,0.000000
16,539,3,sink,0.116084,3.802111,0.297513,0.580000,0.129526,0.257717,0.019256,0.947266,0.967285,0.211217,2.437132,0.000000
16,540,0,sink,0.117791,3.728572,0.384595,0.737500,0.131681,0.041379,0.011691,0.942871,0.963379,0.139529,3.478735,0.000000
