layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
3,107,0,grounding,0.146795,4.722916,0.088908,0.015000,0.160962,nan,2.422808,0.099182,0.968750,0.078670,0.120599,0.000000
3,108,1,unassigned,0.077310,5.095972,0.042674,0.015000,0.090000,nan,2.269602,0.154053,0.981934,0.103492,0.105425,0.000000
3,109,0,unassigned,0.120656,5.080347,0.069644,0.032500,0.134904,nan,2.263913,0.011581,0.970215,0.102315,0.151014,0.000000
3,110,0,unassigned,0.124796,5.200787,0.060472,0.030000,0.139135,nan,2.257413,0.099731,0.970703,0.092811,0.116427,0.000000
3,111,0,unassigned,0.106131,4.780884,0.083750,0.080000,0.120577,nan,2.054285,0.017242,0.971680,0.097729,0.181329,0.000000
4,112,0,unassigned,0.140289,4.891543,0.118242,0.507500,0.154712,nan,0.107495,0.932617,0.997559,0.107293,0.298879,0.000000
4,113,1,unassigned,0.087970,4.770592,0.080243,0.307500,0.100673,nan,0.340646,0.745605,0.992188,0.062468,0.331756,0.000000
4,114,0,unassigned,0.128534,4.916863,0.120718,0.662500,0.143365,nan,0.388047,0.467529,0.977539,0.097160,0.264611,0.000000
4,115,1,unassigned,0.128992,4.949663,0.078230,0.090000,0.143654,nan,0.450123,0.723633,0.975098,0.082686,0.214376,0.000000
4,116,2,unassigned,0.072716,4.722940,0.068785,0.177500,0.084135,nan,0.707628,0.604004,0.974609,0.073780,0.329862,0.000000
4,117,0,unassigned,0.128191,5.078368,0.094777,0.602500,0.142692,nan,0.161745,0.825195,0.993652,0.088571,0.132031,0.000000
4,118,2,unassigned,0.053478,4.608754,0.046755,0.010000,0.062981,nan,1.960902,0.260742,0.972168,0.059963,0.339514,0.000000
4,119,1,sink,0.047801,4.928964,0.044193,0.112500,0.056538,nan,0.017918,0.990234,0.991211,0.056816,0.281165,0.000000
4,120,0,grounding,0.113496,2.093987,0.451060,0.620000,0.127788,nan,0.412931,0.986816,0.988281,0.062154,0.626270,0.000000
4,121,0,grounding,0.098177,3.072627,0.334871,0.590000,0.112115,nan,0.915499,0.988770,0.989746,0.093288,0.605724,0.000000
4,122,1,sink,0.058603,3.546939,0.161870,0.292500,0.069327,nan,0.018736,0.998535,0.999023,0.046865,1.155751,0.000000
4,123,1,unassigned,0.066145,4.315359,0.126333,0.410000,0.077596,nan,0.891592,0.952637,0.969238,0.080564,0.369470,0.000000
4,124,2,unassigned,0.071629,4.090746,0.151286,0.410000,0.083654,nan,0.034822,0.371826,0.970703,0.064064,0.817311,0.000000
